Province_State	days.R0	2020-01-22	2020-01-23	2020-01-24	2020-01-25	2020-01-26	2020-01-27	2020-01-28	2020-01-29	2020-01-30	2020-01-31	2020-02-01	2020-02-02	2020-02-03	2020-02-04	2020-02-05	2020-02-06	2020-02-07	2020-02-08	2020-02-09	2020-02-10	2020-02-11	2020-02-12	2020-02-13	2020-02-14	2020-02-15	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11
Alabama	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.1045755228553	6.91795603386146	5.94826531106859	4.97152325499811	4.47678568355715	4.19826545223347	3.90032988968669	3.73435524483745	3.53088374983091	3.37603152089282	3.23172054529096	3.08136107907535	2.86948401291815	2.66250589538015	2.51061051498102	2.38694773526666	2.28513997464242	2.21701376843138	2.17065154547214	2.14043069797552	2.10593408021438	2.06078000658763	2.03018287872346	2.00894074746302	1.99281075622316	1.98010751176754	1.98124521507534	1.95837012450495	1.93906149418963	0
Alaska	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.77649278320092	6.0620778194544	5.86990045220157	5.71237269567049	5.18650955452788	4.56547226527546	4.09436664249266	3.76544799426734	3.52802405031111	3.33375816279858	3.08275050914547	2.90421984859389	2.74746126319557	2.57891227123934	2.45294710149232	2.28609566422171	2.1378728044609	2.02246673367912	1.94209593546102	1.87497903160443	1.82042871307771	1.77216890628336	1.72939715633323	1.69204908770486	1.6675222903957	1.63221530159508	1.59854299927118	1.57232283074196	1.54946296219812	0
Arizona	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.91139616165559	4.64766445281005	4.41185560807481	4.41935298460424	4.4633303167685	4.55943138982907	4.62817441867284	4.69538899574524	4.6922839108625	4.56521199037909	4.32194183992307	4.04861626238469	3.80729434949668	3.53157468033563	3.27815165950733	3.07730813848805	2.89913722690376	2.73025223441797	2.59560416798174	2.47543870844667	2.35413443037508	2.25609579510564	2.16103314393448	2.07785275480113	1.99942660672391	1.92149230409629	1.83963631649307	1.76043324504666	1.6931794902117	1.63259184807343	1.6046415969683	1.60745411930103	0
Arkansas	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2167230960678	6.31292117609286	5.59992750685017	4.97121371904952	4.61387854717197	4.36387002308473	4.22692197597706	4.00876543865077	3.65755267275825	3.29430669702744	3.0045174868568	2.7491618281439	2.55948906062298	2.40959390802617	2.26261975023748	2.13495936157976	2.0345008544687	1.96463411140554	1.91896821666604	1.88005626896221	1.84554591053818	1.8124023814093	1.78207868800584	1.75500127761636	1.73532969380499	1.71069182480822	1.69573579859219	1.68189767525565	1.67363403532242	1.64463596329	1.62021910013906	0
California	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4282892893662	4.28428138031814	3.80115380896376	3.51633492121147	3.3378995016067	3.20312540284496	3.08637327602235	2.99601640680416	2.94937773676046	2.89812964920498	2.84710388913935	2.80425132118841	2.75552923943624	2.69070315042245	2.62360072817184	2.55497058094446	2.46950969518907	2.39030270522004	2.33032858349637	2.27268985165106	2.20583717131603	2.14160741550064	2.07961608366332	2.01905174459175	1.96478506306985	1.9207048700504	1.86524953971462	1.81976529294769	1.77659805138657	1.73048719513009	1.69519414123069	1.64769983393858	0
Colorado	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.52732875267896	5.31549671505386	4.59651937146504	4.24511101222135	3.80237190882624	3.52409676204832	3.3643092947868	3.3085547232526	3.26482843787986	3.17255380940006	3.07459428638698	3.00355167822739	2.88548788608656	2.78641492316604	2.71707997750253	2.60622906464924	2.47150255525887	2.38579720744415	2.29391590253864	2.18553335504709	2.11474648843468	2.03038482410251	1.97781494391489	1.92772456844223	1.87673002878855	1.82128021946299	1.74983640440775	1.69135467412833	1.64369319735671	1.60793832335183	1.60272346290457	1.58087326186127	0
Connecticut	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.2212920928217	7.87599408128832	7.10078933981986	6.30991477599085	5.65766827008382	5.42067646187098	5.23641209684035	4.87355429107366	4.68453840673427	4.31301811859059	4.10095755779691	4.00125197353623	3.82358402042042	3.6594777623426	3.46028762865895	3.26140765866594	3.12027082871735	2.98995397357938	2.87900017846772	2.75522212359964	2.62670136451883	2.51263272044022	2.4267356206301	2.36852624401039	2.29373698357932	2.2476901712016	2.22032991986594	2.17515509385583	2.13743208438745	2.15014124805208	2.09911194425657	2.06347808217483	0
Delaware	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.45374483829212	7.28785514257654	5.60411625325097	4.87733746856751	4.55790356703922	4.35240630508294	4.02859384077838	3.80647254099678	3.5618044363778	3.38007809314694	3.25224546092127	3.14105833061796	3.0371711082502	2.89445409662654	2.79761769493573	2.73638040075669	2.67082779065955	2.59809972120237	2.55945813619834	2.53487215951817	2.51088200700722	2.49782293077026	2.50519454757681	2.50981713562831	2.48103126321023	2.45705048022587	2.42771688580293	2.38182811159278	2.30629625967778	2.25329132254998	2.22026421333639	0
District of Columbia	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1219582933696	4.25963809802816	3.86227961534266	3.75581267433082	3.73837672615454	3.66647284386545	3.59078176176497	3.56674436137224	3.49706836594087	3.39643618558256	3.20971167703193	3.09017191282992	2.97034706193468	2.87642771631652	2.79521024988014	2.6996298134556	2.61124305000145	2.54145311273724	2.49311420387586	2.45648396259428	2.41769680710826	2.36703464968952	2.31528086179039	2.27301853725323	2.22836323524284	2.17565699319606	2.13249492537654	2.10006601869513	2.07084722521798	2.01216820600479	1.97248107115407	1.92978593845107	0
Florida	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.69034785569735	5.98479492742883	5.43703476660567	5.08375635286068	4.78114233550968	4.50949471714032	4.29490299227883	4.09704466440023	3.89809796828502	3.72741680943268	3.57296054959297	3.45679664468806	3.30469276793536	3.18787413369839	3.10334051175685	3.02227313259636	2.90773843458373	2.79452918421407	2.67274808635718	2.57127421076331	2.45549495833552	2.34186582395892	2.26158459642799	2.15786148488275	2.06296340254302	1.97863174020328	1.91295621153845	1.85854963485459	1.80837457312059	1.76821432889589	1.73751173830142	1.70494069638224	0
