Province_State	days.R0	R0.EG	R0.ML	R0.TD	R0.TD3	R0.SB	R0.SB3	R0.mean
Alabama	8	5.38859994105863	4.99800057511236	3.93803903751711	4.06773926287806	2.77	2.88	4.33358494476226
Arizona	11	3.12506490318025	3.08078929889045	3.89849789694001	3.7283491978549	2.48	2.24	3.0435508499814
California	47	2.40568648866583	2.3349201694777	2.31721943289891	2.32413261983037	1.98	1.97666666666667	2.26035148616014
Colorado	14	3.35403613044979	2.94669438284158	2.70859569343721	2.6905673704702	2.24	2.24333333333333	2.80865780427373
Connecticut	9	5.35944568575832	4.83326088881701	3.93242111178177	4.17205078806059	2.72	2.94666666666667	4.32785600732564
Delaware	7	4.41313425758965	4.64539504500175	3.7802810861402	3.92553213375096	2.54	2.56333333333333	3.88684869241892
District of Columbia	5	4.88067083073549	6.47034813315779	4.71751226526098	5.374449326276	2.5	2.57666666666667	4.82553373920899
Florida	14	4.0007655636629	3.50261788684043	3.02740666762298	3.1315065014964	2.39	2.55333333333333	3.29705582133327
Georgia	14	4.15888567621969	3.54666005929237	4.05996372256846	3.83650635595004	2.76	2.53	3.51801302286552
Hawaii	6	4.98666420124282	5.49349630854706	4.67953760215204	4.77426241420911	2.81	2.72333333333333	4.49443906433308
Illinois	16	4.94665914080324	4.28253189756882	4.54139170732723	4.67115046622532	2.84	2.92666666666667	4.20675204281601
Indiana	11	3.0641511324888	3.02226568858294	3.44114291622104	3.32356963714348	2.39	2.22666666666667	2.90916328122047
Iowa	11	2.12196815641943	2.3755609678862	1.97681278095715	2.0701467823483	1.75	1.87	2.10941897666348
Kansas	8	4.01124514460527	4.05277965487321	3.76175914090764	3.77169317043538	2.54	2.46333333333333	3.5747628258118
Kentucky	11	2.83197178223821	2.8405461848657	3.0460612504999	2.97801190347893	2.24	2.11333333333333	2.69096580097904
Louisiana	10	5.06124156298836	4.42153911485353	3.85963588994048	3.91730418571195	2.75	2.82	4.05502121588846
Maine	5	3.53671178558843	5.6711551192966	3.47628028510791	4.11598843489604	2.23	2.53666666666667	3.96513050161193
Maryland	13	3.75198721316405	3.37494381933057	3.27235844341552	3.28432999970173	2.44	2.45	3.21531525804909
Massachusetts	15	2.66817422953544	2.43922930703041	2.31937207704391	2.28298814309121	2.02	1.99	2.34509791991426
Michigan	8	7.61479411321853	6.4040358727773	6.71755353550943	6.73115475364271	3.44	3.4	6.03749618490963
Minnesota	10	3.66738835960143	3.47763201885149	2.5968884716714	2.66501685012447	2.27	2.38666666666667	3.04917597381102
Mississippi	8	6.02657549591121	5.37838726811698	5.10390496066229	5.1433936090454	3.05	3.02333333333333	4.89292242660173
Missouri	6	10.1327899579702	8.58077429941368	8.39823237819097	8.30524488451604	3.89	3.61	7.65720228547499
Montana	7	2.8482586192775	3.47693310884546	3.33604978946365	3.12850076288148	2.33	1.97666666666667	2.85758978941778
Nebraska	10	2.08771086815562	2.42303522048868	2.03103183694916	1.98234454764853	1.87	1.81666666666667	2.07743932573987
Nevada	10	4.21827622789419	3.82185749235437	4.22402376914727	3.97815031435616	2.82	2.49333333333333	3.62790434198451
New Hampshire	10	3.76194898624099	3.60697983956632	2.89133882631665	3.04347063392147	2.28	2.44	3.21309986493219
New Jersey	13	6.03549451701098	5.05396309715149	4.49509833373512	4.83212810964376	2.85	3.12666666666667	4.76206309761822
New Mexico	9	2.71229837244036	2.99951682109216	2.32498408907152	2.35483611283541	2.05	2.09333333333333	2.53999615992532
New York	17	5.93276166072171	5.11015480573545	5.95984042760835	6.09896679730556	3.2	3.26	5.10047081594068
North Carolina	11	4.35879774983052	3.90617368630901	3.86436031075511	3.8898664147053	2.64	2.65	3.70120946271121
Ohio	9	4.44570970436697	4.13955389748228	3.52978616283829	3.51620797797228	2.65	2.66	3.69036789495538
Oklahoma	5	5.46256153356091	7.03405975229838	4.99767428497379	5.68115827462186	2.72	2.83	5.25194489012029
Oregon	14	2.4521260008646	2.41899152228055	2.37100292595607	2.35245416650538	1.99	1.96666666666667	2.2975595890793
Pennsylvania	13	4.02775227808461	3.54426532107433	3.65671779917512	3.59042821366709	2.6	2.53	3.42311145320651
Rhode Island	10	2.8123725949475	2.89634367826787	2.56298727018777	2.55644281762606	2.11	2.12333333333333	2.59712310604369
South Carolina	11	4.04911833806021	3.67984438100096	3.78443364717701	3.69303468973687	2.63	2.5	3.48049935219951
South Dakota	10	1.42591787936042	2.06608535200961	1.52390767657308	1.5563388588035	1.38	1.29333333333333	1.58541885587671
Tennessee	10	4.20251431859733	3.88415048359751	3.94599536086652	3.90123870933283	2.68	2.61	3.64947587788192
Texas	14	4.00226141369956	3.59386518945291	3.71798546537109	3.85424643510533	2.52	2.63333333333333	3.52092659289778
Utah	8	4.11374724270609	4.09482724891074	3.53723254982223	3.47855596301612	2.59	2.48666666666667	3.5434492803249
Vermont	7	3.56620193740395	4.03884969649225	3.34271745769778	3.34410020896626	2.4	2.28	3.30728796071562
Virginia	11	3.08524508947746	2.97245026644648	2.45528027144774	2.49483839610079	2.12	2.17	2.68063343800618
Washington	21	2.59279801866202	2.26136450056602	2.00554622642923	2.02451025844157	1.87	1.89666666666667	2.19383486108407
Wisconsin	9	4.88436886524437	4.49002895216983	3.94500874156692	4.03899149405275	2.73	2.83333333333333	4.06168066120007
