Province_State	days.R0	R0.EG	R0.ML	R0.TD	R0.TD3	R0.SB	R0.SB3	R0.mean
Alabama	8	7.8039474734502	7.45704309131576	6.015188526787	6.34476692124897	3.84	4.01333333333333	6.40477270483707
Arizona	55	2.28276870498023	2.80990171983698	5.02525107818205	4.67177133687209	2.99	2.62666666666667	3.09777710708899
Arkansas	8	12.7905360037056	9.8436130454586	14.3934204027214	15.1037923219334	6.02	5.75333333333333	10.8728186761077
California	55	3.1984671740369	3.1656560929936	3.23604063771466	3.24620505998095	2.56	2.56333333333333	3.0434154150862
Colorado	15	4.84612050092578	4.36114309523186	3.88802997133615	3.87951072191356	3	3.01333333333333	4.02502691285113
Connecticut	11	8.14986057747281	6.9807597301976	5.70008925130815	6.24306629840676	3.79	4.16333333333333	6.38425498485263
District of Columbia	5	7.0675132908596	9.11642527400149	6.78236617071228	8.39130686899807	3.41	3.53333333333333	7.02714469179812
Florida	19	5.83284171026703	5.0054452767502	4.45057593433195	4.65541401154202	3.24	3.5	4.74842524963981
Georgia	18	6.03426021136029	5.13340451966976	5.81907924838416	5.37421778388577	3.82	3.45	4.99797062872896
Illinois	57	4.35049298149211	4.9846786583659	6.26551046386859	6.4729555979454	3.8	3.85333333333333	4.91536514278419
Indiana	15	4.67188453917561	4.26437564118488	4.67456592410648	4.45026666902694	3.29	3.06	4.11163171234686
Iowa	12	3.0182536851744	3.48209849536011	2.6661259469344	2.88202846821996	2.33	2.54666666666667	2.98226182885528
Kansas	13	6.10670601185133	5.38692709319051	5.26668677384811	5.25633363456802	3.56	3.49666666666667	5.06165835156913
Kentucky	15	4.32219014548827	4.00723848921974	4.09420805436922	3.98581309714555	3.03	2.86333333333333	3.79464376629672
Louisiana	10	7.33081025748146	6.60423587896291	5.71625328229434	5.88273518303459	3.81	3.92333333333333	5.93527866320307
Maine	9	8.47093077993556	7.62774622986884	5.06751425242557	6.08027004556367	3.51	4.25666666666667	6.60890343050868
Maryland	15	5.32232216584542	4.76060781677006	4.70868755409788	4.71120108400062	3.3	3.31666666666667	4.52769943332069
Massachusetts	49	3.80473988574693	3.41799287758865	3.1774797863334	3.12247955129361	2.62	2.57	3.2288030786573
Michigan	10	11.4059598741261	9.12602436027582	9.07508847060514	9.28904136607637	4.99	5.01666666666667	8.70942306678624
Minnesota	15	5.84440592808821	5.06820523319194	3.96772285905924	4.13567855256656	3.06	3.25	4.57457242846168
Mississippi	9	9.04553302111238	7.89967404623883	7.4427924307582	7.50103639237451	4.45	4.51333333333333	7.23989419826476
Missouri	13	9.77850523147958	7.88102155158436	10.2016865785347	9.55356259812176	5.28	4.69333333333333	7.97660567862976
Nevada	16	5.95221036435483	5.15488942549649	6.04610192182858	5.52020044721144	3.89	3.39666666666667	5.00599172593236
New Hampshire	19	4.24144032539691	3.96960505589892	4.09186786725323	4.27743605986652	2.95	3.11333333333333	3.90045369362392
New Jersey	16	8.68698536199422	7.10788165499483	6.26214675466369	6.98337331723725	3.97	4.4	6.79456008355657
New Mexico	10	4.01983520496907	4.48954706784046	3.44172028968682	3.55061889665998	2.73	2.81333333333333	3.71833362570071
New York	19	8.59858989990035	7.08135674299644	7.91595890377082	8.15679105848655	4.53	4.62666666666667	7.1158510920125
North Carolina	18	6.35264407092756	5.41106894114471	5.47815764957182	5.52120752873916	3.65	3.67333333333333	5.23956346853619
Ohio	11	6.7536476016776	6.03456990509461	5.31711635300015	5.3106002461753	3.64	3.64333333333333	5.43553777157021
Oklahoma	14	7.08591419229507	6.09203520085075	5.92353197245815	6.53816105002419	3.75	3.91333333333333	5.90736094412583
Oregon	21	3.57216059133067	3.27108468185307	3.23198910521266	3.1785334745828	2.6	2.57	3.14794468694163
Pennsylvania	15	5.90719022153957	5.14269528562429	5.26722777757512	5.11617067226631	3.59	3.48333333333333	4.91234737819088
Rhode Island	20	3.8409002018883	3.55503208113746	3.51276235162697	3.5283447089306	2.72	2.72	3.41106924798909
South Carolina	14	5.85212715188726	5.17765806619639	5.48788879061391	5.25887114993821	3.65	3.46666666666667	4.93883075867213
Tennessee	16	6.4712161149119	5.4879296895741	5.59711833383831	5.50755979898817	3.72	3.63	5.27417640086854
Texas	16	5.76107136141429	5.05444310458115	5.06561542350972	5.34537620990828	3.44	3.63	4.94772266897593
Utah	14	6.64639125946846	5.6853674543601	5.30828910829767	5.16259667981179	3.64	3.52666666666667	5.25525551507675
Virginia	13	4.7068257240171	4.43308155414073	3.57626060602045	3.69156501298613	2.86	2.96666666666667	3.94953473945266
Washington	59	3.65300513712611	3.19364424468503	2.72847036660584	2.78414336566583	2.4	2.43666666666667	3.01686485353591
Wisconsin	11	7.38330820342492	6.46179917811144	5.75568526582694	5.9623258994932	3.8	3.96666666666667	5.94352498692406
